Item: 25 Water Crystal, Price: 34, Quantity: 9999, Server: Omega, Twintania market price: 79, URL: https://universalis.app/market/13
Item: 49 Cobalt Claws, Price: 31491, Quantity: 1, Server: Alpha, Twintania market price: 47499, URL: https://universalis.app/market/1733
Item: 13 Spiked Bronze Labrys, Price: 1890, Quantity: 1, Server: Louisoix, Twintania market price: 4500, URL: https://universalis.app/market/1753
Item: 23 Iron Bill, Price: 1078, Quantity: 1, Server: Zodiark, Twintania market price: 9850, URL: https://universalis.app/market/1764
Item: 18 Iron Labrys, Price: 1050, Quantity: 1, Server: Moogle, Twintania market price: 3796, URL: https://universalis.app/market/1756
Item: 48 Vintage Hora, Price: 4199, Quantity: 1, Server: Spriggan, Twintania market price: 13505, URL: https://universalis.app/market/1732
Item: 1 Weathered War Axe, Price: 1052, Quantity: 1, Server: Phoenix, Twintania market price: 8500, URL: https://universalis.app/market/1749
Item: 38 Spiked Mythril Labrys, Price: 10500, Quantity: 1, Server: Omega, Twintania market price: 28643, URL: https://universalis.app/market/1781
Item: 31 Steel Bardiche, Price: 5306, Quantity: 1, Server: Louisoix, Twintania market price: 14500, URL: https://universalis.app/market/1776
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 7000, URL: https://universalis.app/market/1819
Item: 12 Feathered Harpoon, Price: 1890, Quantity: 1, Server: Raiden, Twintania market price: 18999, URL: https://universalis.app/market/1823
Item: 20 Iron Lance, Price: 1575, Quantity: 1, Server: Cerberus, Twintania market price: 3750, URL: https://universalis.app/market/1827
Item: 45 Buccaneer's Bardiche, Price: 10500, Quantity: 1, Server: Odin, Twintania market price: 13994, URL: https://universalis.app/market/1796
Item: 5 Bone Harpoon, Price: 105, Quantity: 1, Server: Sagittarius, Twintania market price: 2227, URL: https://universalis.app/market/1820
Item: 16 Iron Spear, Price: 1155, Quantity: 1, Server: Lich, Twintania market price: 13000, URL: https://universalis.app/market/1825
Item: 55 Barbarian's Bardiche, Price: 18899, Quantity: 1, Server: Moogle, Twintania market price: 23476, URL: https://universalis.app/market/1810
Item: 70 Giantsgall Trident, Price: 1044, Quantity: 1, Server: Cerberus, Twintania market price: 1325, URL: https://universalis.app/market/1875
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 44, URL: https://universalis.app/market/1893
Item: 70 Obelisk, Price: 998, Quantity: 1, Server: Shiva, Twintania market price: 1894, URL: https://universalis.app/market/1882
Item: 13 Wrapped Maple Longbow, Price: 104, Quantity: 1, Server: Moogle, Twintania market price: 487, URL: https://universalis.app/market/1894
Item: 42 Warped Bow, Price: 2184, Quantity: 1, Server: Louisoix, Twintania market price: 10000, URL: https://universalis.app/market/1910
Item: 37 Mythril Cavalry Bow, Price: 9449, Quantity: 1, Server: Ragnarok, Twintania market price: 19999, URL: https://universalis.app/market/1920
Item: 40 Mythril Lance, Price: 2099, Quantity: 1, Server: Cerberus, Twintania market price: 2786, URL: https://universalis.app/market/1855
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 29942, URL: https://universalis.app/market/1879
Item: 8 Maple Longbow, Price: 210, Quantity: 1, Server: Moogle, Twintania market price: 849, URL: https://universalis.app/market/1892
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 24499, URL: https://universalis.app/market/1949
Item: 8 Whispering Maple Wand, Price: 998, Quantity: 1, Server: Alpha, Twintania market price: 14500, URL: https://universalis.app/market/1959
Item: 29 Yew Wand, Price: 630, Quantity: 1, Server: Zodiark, Twintania market price: 1113, URL: https://universalis.app/market/1967
Item: 38 Budding Oak Wand, Price: 18902, Quantity: 1, Server: Alpha, Twintania market price: 27499, URL: https://universalis.app/market/1971
Item: 15 Ash Shortbow, Price: 105, Quantity: 1, Server: Sagittarius, Twintania market price: 449, URL: https://universalis.app/market/1895
Item: 18 Elm Longbow, Price: 305, Quantity: 1, Server: Alpha, Twintania market price: 944, URL: https://universalis.app/market/1897
Item: 50 Vintage Bow, Price: 3780, Quantity: 1, Server: Zodiark, Twintania market price: 19949, URL: https://universalis.app/market/1941
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 18994, URL: https://universalis.app/market/1987
Item: 46 Wand of Storms, Price: 111, Quantity: 1, Server: Ragnarok, Twintania market price: 490, URL: https://universalis.app/market/1985
Item: 10 Maple Crook, Price: 104, Quantity: 1, Server: Ragnarok, Twintania market price: 218, URL: https://universalis.app/market/1997
Item: 25 Yew Crook, Price: 158, Quantity: 1, Server: Sagittarius, Twintania market price: 975, URL: https://universalis.app/market/2011
Item: 42 Wand of Frost, Price: 1050, Quantity: 1, Server: Raiden, Twintania market price: 10000, URL: https://universalis.app/market/1974
Item: 41 Vintage Cane, Price: 8400, Quantity: 1, Server: Raiden, Twintania market price: 13875, URL: https://universalis.app/market/2041
Item: 55 Madman's Whispering Rod, Price: 10395, Quantity: 1, Server: Ragnarok, Twintania market price: 23996, URL: https://universalis.app/market/2049
Item: 1 Weathered Scepter, Price: 1029, Quantity: 1, Server: Shiva, Twintania market price: 4999, URL: https://universalis.app/market/2055
Item: 32 Plumed Yew Crook, Price: 4200, Quantity: 1, Server: Omega, Twintania market price: 4201, URL: https://universalis.app/market/2021
Item: 20 Elm Crook, Price: 20, Quantity: 1, Server: Lich, Twintania market price: 54, URL: https://universalis.app/market/2002
Item: 15 Brass Cudgel, Price: 216, Quantity: 1, Server: Alpha, Twintania market price: 499, URL: https://universalis.app/market/2059
Item: 26 Ice Brand, Price: 1040, Quantity: 1, Server: Alpha, Twintania market price: 4999, URL: https://universalis.app/market/2066
Item: 41 Lightning Brand, Price: 859, Quantity: 1, Server: Shiva, Twintania market price: 3400, URL: https://universalis.app/market/2083
Item: 38 Vintage Cudgel, Price: 5249, Quantity: 1, Server: Spriggan, Twintania market price: 14488, URL: https://universalis.app/market/2093
Item: 41 Sprouting Rosewood Radical, Price: 3675, Quantity: 1, Server: Louisoix, Twintania market price: 23999, URL: https://universalis.app/market/2030
Item: 70 Giantsgall Cane, Price: 368, Quantity: 1, Server: Shiva, Twintania market price: 847, URL: https://universalis.app/market/2048
Item: 55 Sanguine Scepter, Price: 11550, Quantity: 1, Server: Alpha, Twintania market price: 19897, URL: https://universalis.app/market/2102
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 5000, URL: https://universalis.app/market/2111
Item: 34 Toothed Goathorn Staff, Price: 20999, Quantity: 1, Server: Omega, Twintania market price: 21000, URL: https://universalis.app/market/2123
Item: 44 Black Horn Staff, Price: 98, Quantity: 1, Server: Lich, Twintania market price: 2299, URL: https://universalis.app/market/2130
Item: 12 Bronze Scepter, Price: 2334, Quantity: 1, Server: Lich, Twintania market price: 3350, URL: https://universalis.app/market/2058
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 3750, URL: https://universalis.app/market/2143
Item: 46 Water Brand, Price: 2624, Quantity: 1, Server: Odin, Twintania market price: 6034, URL: https://universalis.app/market/2094
Item: 10 Engraved Leather Grimoire, Price: 315, Quantity: 1, Server: Alpha, Twintania market price: 12749, URL: https://universalis.app/market/2145
Item: 13 Ash Picatrix, Price: 1050, Quantity: 1, Server: Raiden, Twintania market price: 9499, URL: https://universalis.app/market/2146
Item: 15 Hard Leather Grimoire, Price: 1050, Quantity: 1, Server: Lich, Twintania market price: 2015, URL: https://universalis.app/market/2147
Item: 70 Medica Thavnaria, Price: 828, Quantity: 1, Server: Moogle, Twintania market price: 1597, URL: https://universalis.app/market/2194
Item: 26 Toothed Staghorn Staff, Price: 1050, Quantity: 1, Server: Phantom, Twintania market price: 4510, URL: https://universalis.app/market/2118
Item: 55 Erudite's Picatrix of Casting, Price: 20576, Quantity: 1, Server: Shiva, Twintania market price: 22562, URL: https://universalis.app/market/2202
Item: 1 Company Escutcheon, Price: 315000, Quantity: 1, Server: Raiden, Twintania market price: 397949, URL: https://universalis.app/market/2220
Item: 70 Deus Ex Gratia, Price: 315, Quantity: 1, Server: Zodiark, Twintania market price: 1394, URL: https://universalis.app/market/2212
Item: 8 Bronze Hoplon, Price: 4, Quantity: 1, Server: Sagittarius, Twintania market price: 6944, URL: https://universalis.app/market/2226
Item: 12 Leather Targe, Price: 378, Quantity: 1, Server: Phoenix, Twintania market price: 394, URL: https://universalis.app/market/2229
Item: 35 Rusting Scutum, Price: 15750, Quantity: 1, Server: Louisoix, Twintania market price: 19996, URL: https://universalis.app/market/2232
Item: 20 Engraved Hard Leather Grimoire, Price: 5250, Quantity: 1, Server: Zodiark, Twintania market price: 13999, URL: https://universalis.app/market/2149
Item: 38 Vintage Picatrix, Price: 5248, Quantity: 1, Server: Spriggan, Twintania market price: 21000, URL: https://universalis.app/market/2184
Item: 38 Rotting Round Shield, Price: 1575, Quantity: 1, Server: Shiva, Twintania market price: 1600, URL: https://universalis.app/market/2237
Item: 18 Iron Hoplon, Price: 10500, Quantity: 1, Server: Phantom, Twintania market price: 14999, URL: https://universalis.app/market/2236
Item: 40 Scarred Kite Shield, Price: 1077, Quantity: 1, Server: Ragnarok, Twintania market price: 3010, URL: https://universalis.app/market/2259
Item: 39 Bladed Lantern Shield, Price: 21000, Quantity: 1, Server: Cerberus, Twintania market price: 30500, URL: https://universalis.app/market/2268
Item: 42 Raptorskin Targe, Price: 7875, Quantity: 1, Server: Odin, Twintania market price: 17994, URL: https://universalis.app/market/2270
Item: 46 Vintage Round Shield, Price: 74, Quantity: 1, Server: Moogle, Twintania market price: 9000, URL: https://universalis.app/market/2289
Item: 10 Round Shield, Price: 210, Quantity: 1, Server: Moogle, Twintania market price: 2651, URL: https://universalis.app/market/2228
Item: 48 Vintage Kite Shield, Price: 8398, Quantity: 1, Server: Shiva, Twintania market price: 39999, URL: https://universalis.app/market/2300
Item: 38 Vintage Square Shield, Price: 4200, Quantity: 1, Server: Phoenix, Twintania market price: 13463, URL: https://universalis.app/market/2238
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 1106, URL: https://universalis.app/market/2250
Item: 23 Bas-relief Iron Saw, Price: 4200, Quantity: 1, Server: Raiden, Twintania market price: 11000, URL: https://universalis.app/market/2319
Item: 16 Chocobotail Saw, Price: 105, Quantity: 1, Server: Louisoix, Twintania market price: 2800, URL: https://universalis.app/market/2317
Item: 48 Bas-relief Cobalt Saw, Price: 21000, Quantity: 1, Server: Spriggan, Twintania market price: 29500, URL: https://universalis.app/market/2325
Item: 46 Scorpion Shield, Price: 61, Quantity: 1, Server: Zodiark, Twintania market price: 7499, URL: https://universalis.app/market/2291
Item: 70 Darksteel Scutum, Price: 993, Quantity: 1, Server: Spriggan, Twintania market price: 1699, URL: https://universalis.app/market/2302
Item: 17 Recruit's Claw Hammer, Price: 34, Quantity: 1, Server: Ragnarok, Twintania market price: 1416, URL: https://universalis.app/market/2330
Item: 29 Novice's Claw Hammer, Price: 27, Quantity: 1, Server: Odin, Twintania market price: 4249, URL: https://universalis.app/market/2333
Item: 35 Wrapped Steel Claw Hammer, Price: 19950, Quantity: 1, Server: Shiva, Twintania market price: 29532, URL: https://universalis.app/market/2335
Item: 70 Spruce Round Shield, Price: 577, Quantity: 1, Server: Moogle, Twintania market price: 2989, URL: https://universalis.app/market/2304
Item: 18 Iron Cross-pein Hammer, Price: 525, Quantity: 1, Server: Louisoix, Twintania market price: 5000, URL: https://universalis.app/market/2344
Item: 1 Weathered Saw, Price: 735, Quantity: 1, Server: Ragnarok, Twintania market price: 2389, URL: https://universalis.app/market/2314
Item: 39 Mythril Saw, Price: 4281, Quantity: 1, Server: Raiden, Twintania market price: 18250, URL: https://universalis.app/market/2323
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 7250, URL: https://universalis.app/market/2349
Item: 11 Bronze File, Price: 10, Quantity: 1, Server: Ragnarok, Twintania market price: 3000, URL: https://universalis.app/market/2356
Item: 33 Steel File, Price: 10500, Quantity: 1, Server: Lich, Twintania market price: 18245, URL: https://universalis.app/market/2361
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 4500, URL: https://universalis.app/market/2364
Item: 1 Weathered Cross-pein Hammer, Price: 2938, Quantity: 1, Server: Raiden, Twintania market price: 8000, URL: https://universalis.app/market/2340
Item: 14 Birdsbeak Hammer, Price: 735, Quantity: 1, Server: Raiden, Twintania market price: 6950, URL: https://universalis.app/market/2343
Item: 34 Steel Doming Hammer, Price: 2100, Quantity: 1, Server: Cerberus, Twintania market price: 2497, URL: https://universalis.app/market/2374
Item: 5 Amateur's Pliers, Price: 210, Quantity: 1, Server: Spriggan, Twintania market price: 825, URL: https://universalis.app/market/2380
Item: 17 Recruit's Pliers, Price: 42, Quantity: 1, Server: Phantom, Twintania market price: 3832, URL: https://universalis.app/market/2382
Item: 33 Steel Pliers, Price: 1050, Quantity: 1, Server: Zodiark, Twintania market price: 12499, URL: https://universalis.app/market/2386
Item: 14 Bronze Ornamental Hammer, Price: 100, Quantity: 1, Server: Louisoix, Twintania market price: 349, URL: https://universalis.app/market/2394
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 16949, URL: https://universalis.app/market/2400
Item: 17 Recruit's Grinding Wheel, Price: 105, Quantity: 1, Server: Phantom, Twintania market price: 1943, URL: https://universalis.app/market/2407
Item: 30 Novice's Grinding Wheel, Price: 525, Quantity: 1, Server: Omega, Twintania market price: 3842, URL: https://universalis.app/market/2410
Item: 33 Siltstone Grinding Wheel, Price: 10500, Quantity: 1, Server: Sagittarius, Twintania market price: 20499, URL: https://universalis.app/market/2411
Item: 11 Amateur's Head Knife, Price: 262, Quantity: 1, Server: Sagittarius, Twintania market price: 650, URL: https://universalis.app/market/2418
Item: 14 Brass Head Knife, Price: 578, Quantity: 1, Server: Zodiark, Twintania market price: 3500, URL: https://universalis.app/market/2419
Item: 31 Silver Head Knife, Price: 420, Quantity: 1, Server: Shiva, Twintania market price: 3276, URL: https://universalis.app/market/2423
Item: 11 Amateur's Chaser Hammer, Price: 105, Quantity: 1, Server: Alpha, Twintania market price: 1249, URL: https://universalis.app/market/2393
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 20444, URL: https://universalis.app/market/2427
Item: 47 Cobalt Awl, Price: 19515, Quantity: 1, Server: Cerberus, Twintania market price: 25000, URL: https://universalis.app/market/2440
Item: 1 Rusty Needle, Price: 3, Quantity: 1, Server: Alpha, Twintania market price: 3270, URL: https://universalis.app/market/2442
Item: 20 Brass Needle, Price: 1050, Quantity: 1, Server: Phantom, Twintania market price: 4994, URL: https://universalis.app/market/2446
Item: 32 Worm Fang Needle, Price: 60, Quantity: 1, Server: Sagittarius, Twintania market price: 4000, URL: https://universalis.app/market/2449
Item: 43 Thousand Needle, Price: 630, Quantity: 1, Server: Shiva, Twintania market price: 1700, URL: https://universalis.app/market/2452
Item: 34 Steel Round Knife, Price: 992, Quantity: 1, Server: Phoenix, Twintania market price: 3249, URL: https://universalis.app/market/2424
Item: 5 Amateur's Spinning Wheel, Price: 5, Quantity: 1, Server: Alpha, Twintania market price: 50, URL: https://universalis.app/market/2456
Item: 37 Apprentice's Spinning Wheel, Price: 315, Quantity: 1, Server: Phoenix, Twintania market price: 1250, URL: https://universalis.app/market/2463
Item: 8 Bronze Alembic, Price: 8400, Quantity: 1, Server: Zodiark, Twintania market price: 18997, URL: https://universalis.app/market/2468
Item: 28 Conical Alembic, Price: 389, Quantity: 1, Server: Louisoix, Twintania market price: 1900, URL: https://universalis.app/market/2473
Item: 15 Brass Alembic, Price: 1049, Quantity: 1, Server: Ragnarok, Twintania market price: 16000, URL: https://universalis.app/market/2470
Item: 5 Amateur's Mortar, Price: 27, Quantity: 1, Server: Lich, Twintania market price: 96, URL: https://universalis.app/market/2481
Item: 11 Bronze Mortar, Price: 112, Quantity: 1, Server: Cerberus, Twintania market price: 904, URL: https://universalis.app/market/2482
Item: 19 Initiate's Spinning Wheel, Price: 420, Quantity: 1, Server: Lich, Twintania market price: 750, URL: https://universalis.app/market/2459
Item: 23 Elm Spinning Wheel, Price: 945, Quantity: 1, Server: Cerberus, Twintania market price: 1499, URL: https://universalis.app/market/2460
Item: 24 Initiate's Mortar, Price: 31, Quantity: 1, Server: Moogle, Twintania market price: 2899, URL: https://universalis.app/market/2485
Item: 47 Cobalt Mortar, Price: 4200, Quantity: 1, Server: Phantom, Twintania market price: 27750, URL: https://universalis.app/market/2491
Item: 1 Weathered Skillet, Price: 525, Quantity: 1, Server: Zodiark, Twintania market price: 5450, URL: https://universalis.app/market/2493
Item: 15 Iron Skillet, Price: 1050, Quantity: 1, Server: Lich, Twintania market price: 1349, URL: https://universalis.app/market/2496
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 14994, URL: https://universalis.app/market/2502
Item: 16 Recruit's Culinary Knife, Price: 105, Quantity: 1, Server: Lich, Twintania market price: 9498, URL: https://universalis.app/market/2509
Item: 16 Recruit's Mortar, Price: 210, Quantity: 1, Server: Phantom, Twintania market price: 650, URL: https://universalis.app/market/2483
Item: 20 Iron Mortar, Price: 2415, Quantity: 1, Server: Odin, Twintania market price: 12249, URL: https://universalis.app/market/2484
Item: 35 Wrapped Steel Culinary Knife, Price: 4190, Quantity: 1, Server: Odin, Twintania market price: 29999, URL: https://universalis.app/market/2514
Item: 1 Weathered Pickaxe, Price: 105, Quantity: 1, Server: Omega, Twintania market price: 9000, URL: https://universalis.app/market/2519
Item: 14 Plumed Bronze Pickaxe, Price: 4737, Quantity: 1, Server: Zodiark, Twintania market price: 29994, URL: https://universalis.app/market/2522
Item: 35 Heavy Steel Mortar, Price: 384, Quantity: 1, Server: Zodiark, Twintania market price: 15000, URL: https://universalis.app/market/2488
Item: 29 Novice's Culinary Knife, Price: 27, Quantity: 1, Server: Lich, Twintania market price: 2000, URL: https://universalis.app/market/2512
Item: 5 Amateur's Culinary Knife, Price: 375, Quantity: 1, Server: Omega, Twintania market price: 398, URL: https://universalis.app/market/2507
Item: 27 Novice's Sledgehammer, Price: 158, Quantity: 1, Server: Moogle, Twintania market price: 6998, URL: https://universalis.app/market/2538
Item: 48 Egret Dolabra, Price: 39900, Quantity: 1, Server: Alpha, Twintania market price: 42999, URL: https://universalis.app/market/2530
Item: 39 Apprentice's Sledgehammer, Price: 1234, Quantity: 1, Server: Sagittarius, Twintania market price: 13500, URL: https://universalis.app/market/2541
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 999, URL: https://universalis.app/market/2520
Item: 34 Steel Dolabra, Price: 10500, Quantity: 1, Server: Omega, Twintania market price: 14494, URL: https://universalis.app/market/2527
Item: 16 Recruit's Sledgehammer, Price: 32, Quantity: 1, Server: Lich, Twintania market price: 9500, URL: https://universalis.app/market/2535
